timestamp_ms,time_ms,latitude,longitude,altitude,timeinfo
2335,2026-02-11 10:41:02.335,51.4859483,-0.4013648000000001,73.684,2026-02-11 02:40:58
2377,2026-02-11 10:41:02.377,51.4859483,-0.4013648000000001,73.684,2026-02-11 02:40:58
2419,2026-02-11 10:41:02.419,51.485947,-0.4013643,73.435,2026-02-11 02:40:59
2460,2026-02-11 10:41:02.460,51.485947,-0.4013643,73.435,2026-02-11 02:40:59
2502,2026-02-11 10:41:02.502,51.4859461,-0.4013633,73.161,2026-02-11 02:40:59
2544,2026-02-11 10:41:02.544,51.4859461,-0.4013633,73.161,2026-02-11 02:40:59
2585,2026-02-11 10:41:02.585,51.4859455,-0.40136180000000005,72.825,2026-02-11 02:40:59
2627,2026-02-11 10:41:02.627,51.4859455,-0.40136180000000005,72.825,2026-02-11 02:40:59
2669,2026-02-11 10:41:02.669,51.485945,-0.4013605,72.535,2026-02-11 02:40:59
2711,2026-02-11 10:41:02.711,51.485945,-0.4013605,72.535,2026-02-11 02:40:59
2752,2026-02-11 10:41:02.752,51.485945,-0.4013605,72.535,2026-02-11 02:40:59
2794,2026-02-11 10:41:02.794,51.4859441,-0.4013595,72.244,2026-02-11 02:40:59
2836,2026-02-11 10:41:02.836,51.4859441,-0.4013595,72.244,2026-02-11 02:40:59
2877,2026-02-11 10:41:02.877,51.4859441,-0.4013595,72.244,2026-02-11 02:40:59
2919,2026-02-11 10:41:02.919,51.4859431,-0.4013597,72.053,2026-02-11 02:40:59
2961,2026-02-11 10:41:02.961,51.4859431,-0.4013597,72.053,2026-02-11 02:40:59
3003,2026-02-11 10:41:03.003,51.485942,-0.4013605,71.921,2026-02-11 02:40:59
3044,2026-02-11 10:41:03.044,51.485942,-0.4013605,71.921,2026-02-11 02:40:59
3086,2026-02-11 10:41:03.086,51.485942,-0.4013605,71.921,2026-02-11 02:40:59
3128,2026-02-11 10:41:03.128,51.4859413,-0.4013606,71.748,2026-02-11 02:40:59
3169,2026-02-11 10:41:03.169,51.4859413,-0.4013606,71.748,2026-02-11 02:40:59
3211,2026-02-11 10:41:03.211,51.4859407,-0.4013616,71.709,2026-02-11 02:40:59
3253,2026-02-11 10:41:03.253,51.4859402,-0.4013616,71.716,2026-02-11 02:40:59
3294,2026-02-11 10:41:03.294,51.4859402,-0.4013616,71.716,2026-02-11 02:40:59
3336,2026-02-11 10:41:03.336,51.4859402,-0.4013616,71.716,2026-02-11 02:40:59
3378,2026-02-11 10:41:03.378,51.4859396,-0.4013617,71.799,2026-02-11 02:41:00
